UNcode,CountryName,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
512,Oman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,352,515,218,114,96,121,118,127,157,168
586,Pakistan,5200,5600,6000,6500,8500,8500,8500,8500,6837,9750,10041,12795,12604,13389,14664,14848,13557,15464,17369,23076,12485,57632,66970,73047,76653,80622,121826,130092,135098,138099,140101,141935,142832
585,Palau,0,0,0,0,0,0,0,0,0,3,2,2,2,2,3,3,2,2,1,1,2,2,4,4,5,5,5,18,20,42,25,24,36
275,"Palestine, Occupied Tr.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,37,65,115,280,189,269
591,Panama,180,380,993,1366,1507,2804,3460,3460,4187,3701,3439,3877,3820,5106,6291,5503,5079,7217,7233,2327,1779,3127,3638,6228,7048,7778,8744,8813,8224,6409,6398,7388,7474
598,Papua New Guinea,0,0,0,0,0,0,0,0,7,8,7,11,11,15,15,23,38,57,106,156,210,210,285,295,430,490,690,840,1122,1372,1588,1621,1825
600,Paraguay,0,0,0,0,0,0,0,22,54,51,61,60,75,75,100,190,350,350,95,95,103,570,1000,1300,2100,2120,2250,2350,2450,2600,2957,4929,5400
604,Peru,1150,1530,2100,1459,3275,7708,2706,4174,4958,4869,5226,6866,5504,4862,5903,5769,7497,7806,7050,8735,6585,7539,11532,13621,22114,25981,28393,39531,43120,44317,89021,92206,72147
608,Philippines,199911,269099,298514,340167,336257,312688,302055,340131,343059,360624,379940,408618,386876,392072,387588,361584,349563,327147,312505,352567,393863,434661,443537,459615,512220,557251,623369,709715,741142,737397,744695,767287,790894
616,Poland,9636,14190,12881,18000,20000,20099,18684,20472,25951,25951,26400,29500,30200,18609,24500,25111,27700,28680,29791,33711,35795,35460,32709,35436,35131,37920,35867,35628,36813,36503,30757,29043,32261
620,Portugal,599,682,839,2463,6240,6402,10331,11012,10433,8549,4968,6277,6402,5970,6538,4981,5364,7185,7536,6268,7537,8209,8288,8033,6700,6696,7894,7416,7352,6728,8225,9165,10318
630,Puerto Rico,0,0,0,0,0,0,0,97,86,110,113,242,284,160,143,68,58,13,164,138,154,414,442,269,417,311,266,44,22,21,17,20,20
634,Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,11,36,36,36,36,36,36,36
638,Réunion,0,8,33,31,30,46,53,57,33,40,32,33,23,13,9,4,4,134,124,138,142,130,110,121,107,161,161,160,160,144,150,115,115
642,Romania,34676,39016,43661,32217,45116,42414,47544,40183,50680,47260,34950,29530,24620,21100,20400,19830,13900,11168,9614,8998,9727,10818,9248,9042,8137,7284,8088,10312,12532,13131,8981,8353,10007
643,Russian Federation,0,0,0,0,0,0,0,0,146377,173530,254347,111135,103699,91366,75456,62018,52899,53171,63195,68615,74124,89945,101340,108684,109802,114752,105525,105503,115420,116571,120384,128830,144871
646,Rwanda,23,27,30,36,39,39,61,64,38,44,164,58,53,53,60,79,100,118,128,300,270,435,612,1027,386,34,30,60,60,60,100,265,516
659,Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
662,Saint Lucia,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,3,2,1,1,1,2,2,1,1,0,0,0,0,6,11,13
