UNcode,CountryName,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
376,Israel,16813,22613,21065,27255,24983,29884,26277,34280,30306,32216,49235,61210,71949,75845,82677,88348,91172,101610,112923,135191,118295,138277,140673,129891,128166,145315,134294,141409,147604,164465,164141,194731,246471,227198,305966,386835,384806
380,Italy,386981,425254,547008,722209,831729,720247,752813,735374,742066,984990,1264513,1738226,1898823,1984470,2458086,2689639,2643440,2131181,2257462,2281316,2590985,2571868,2808587,2728568,2535269,2716373,2906007,3558950,3903779,4224081,4716917,5143834,5453104,5060193,5373341,6211012,5563910
388,Jamaica,19365,10777,18041,17754,17736,23158,29052,24983,26296,18369,25665,22602,31452,34872,31836,27348,23528,31400,28597,32275,50446,51408,57130,59288,51608,59693,58193,59323,59737,76796,81110,94406,102792,88621,90289,105138,109833
392,Japan,1811207,2332790,3086923,4077475,3158660,3793369,4028404,4015121,4207102,4744277,6593515,8308077,10657717,10127471,10668291,12085125,12831760,14187149,16140465,17853481,17023945,15539507,12826543,14748712,15513059,13453375,13646071,12395943,14559508,14438337,13970740,13184490,14947418,13258134,14891698,17340620,17988910
400,Jordan,3484,5503,6838,5165,6641,9477,8744,10232,9021,10720,9312,14818,9682,9707,9810,15004,16402,19690,19772,24190,34628,26886,27326,21020,21813,27567,27245,29254,39096,38528,49100,56905,79287,85953,80288,83304,116010
398,Kazakhstan,,,,,,,,,,,,,,,,,,,2950,8845,16881,12822,8253,11903,19598,16514,11957,14304,16357,23962,33738,55900,77112,65827,56227,87166,89208
404,Kenya,1205,1635,3043,1591,2712,1180,772,968,1308,977,752,1275,1402,1000,720,1036,2654,2790,5526,4076,6872,12228,8993,5339,4614,5219,2722,2769,3963,5950,6108,8516,6236,6575,7785,11644,12296
296,Kiribati,86,80,200,247,217,300,276,150,196,102,112,206,214,227,256,235,293,280,338,418,418,318,397,387,369,128,310,809,396,1123,798,1110,648,572,534,1083,836
408,"Korea, Dem. People's Rep",,,,,,,,,,,,,,,,,,,1800,4390,3739,2447,1113,2579,13006,24422,40054,42574,36453,36181,52581,73212,85587,94138,48583,59503,64500
410,"Korea, Republic of",17165,16516,42577,65737,35681,59142,57677,57167,68044,89776,117090,212712,315439,318003,365630,576476,503302,543206,726372,837285,1069962,1035185,568702,1150029,1385218,1638539,1873876,1950995,2250067,2366543,2752606,3090028,2928193,2693629,3193153,3935296,3736715
414,Kuwait,4850,11191,8651,14035,28369,27246,29526,25560,22724,21350,23347,28266,30141,27723,9966,7743,15786,15538,15270,20109,20508,15858,17624,22111,25581,23535,11171,18855,14819,39329,58095,75352,76973,93541,116999,118331,132000
417,Kyrgyzstan,,,,,,,,,,,,,,,,,,,425,651,1435,2390,2942,1934,1921,1212,1431,2444,2573,2638,3949,5570,7178,7976,9243,11873,14949
418,Lao People's Dem. Rep.,,,,,,,,,,,,,,,,,,210,2179,1911,1063,1839,984,1157,2069,2170,1713,2318,3331,3302,3058,3660,4402,4110,4447,6093,6500
428,Latvia,,,,,,,,,,,,,,,,,2320,3232,12058,19042,27708,38138,46805,36097,37291,45289,48055,55668,37048,59154,75531,110136,144617,118178,133756,166073,206954
422,Lebanon,3300,8021,,,,,,,,,,,,,,9192,7579,9585,14538,14688,22470,44477,47831,48018,43787,55013,46010,46195,55802,57095,63078,73877,86838,97510,114077,123841,134788
