STS_ID,STS_ID_CONSTR1,STS_ID_CONSTR2,STS_ID_WEIGHT,CONSTRUCTION_TYPE,GROWTH_RATE_FREQ,GROWTH_TYPE,AGGREGATION,THRESHOLD_PROP,THRESHOLD_COUNTRIES,SCALING,COMMENTS
RP.PEST.TOT.TN.SH.EXP,,,RL.AREA.ARBLPRMN.HA.NO,,,,weighted.mean,0.65,0,,nothing
CS.GCS.TOT.USD.NO,,,,,,,sum,0.65,0,,
CS.GCS.TOT.USD.GR7,CS.GCS.TOT.USD.NO,,CS.GCS.TOT.USD.NO,growth,7,geo,weighted.mean,0.65,0,,
CS.GCS.TOT.USD.GR10,CS.GCS.TOT.USD.NO,,CS.GCS.TOT.USD.NO,growth,10,geo,weighted.mean,0.65,0,,
CS.GCS.LD.USD.NO,,,,,,,sum,0.65,0,,
CS.GCS.LD.USD.SH,CS.GCS.LD.USD.NO,CS.GCS.TOT.USD.NO,CS.GCS.TOT.USD.NO,share,,,weighted.mean,0.65,0,100,
CS.GCS.LFA.USD.NO,,,,,,,sum,0.65,0,,
CS.GCS.LFA.USD.SH,CS.GCS.LFA.USD.NO,CS.GCS.TOT.USD.NO,CS.GCS.TOT.USD.NO,share,,,weighted.mean,0.65,0,100,
CS.GCS.LI.USD.NO,,,,,,,sum,0.65,0,,
CS.GCS.LI.USD.SH,CS.GCS.LI.USD.NO,CS.GCS.TOT.USD.NO,CS.GCS.TOT.USD.NO,share,,,weighted.mean,0.65,0,100,
CS.GCS.ME.USD.NO,,,,,,,sum,0.65,0,,
CS.GCS.ME.USD.SH,CS.GCS.ME.USD.NO,CS.GCS.TOT.USD.NO,CS.GCS.TOT.USD.NO,share,,,weighted.mean,0.65,0,100,
CS.GCS.PC.USD.NO,,,,,,,sum,0.65,0,,
CS.GCS.PC.USD.SH,CS.GCS.PC.USD.NO,CS.GCS.TOT.USD.NO,CS.GCS.TOT.USD.NO,share,,,weighted.mean,0.65,0,100,
CS.GCS.SL.USD.NO,,,,,,,sum,0.65,0,,
CS.GCS.SL.USD.SH,CS.GCS.SL.USD.NO,CS.GCS.TOT.USD.NO,CS.GCS.TOT.USD.NO,share,,,weighted.mean,0.65,0,100,
RM.MA.TRA.TR.NO,,,,,,,sum,0.65,0,,
IG.AFFH.STOCGG.USD.SH,,,,,,,discard,0.65,0,,no aggregation has to be done
IG.AFFH.STONCGG.USD.SH,,,,,,,discard,0.65,0,,no aggregation has to be done
IG.AFFH.SAGCGG.USD.SH,,,,,,,discard,0.65,0,,no aggregation has to be done
IG.AFFH.SAGNCGG.USD.SH,,,,,,,discard,0.65,0,,no aggregation has to be done
IG.EP.STOCGG.USD.SH,,,,,,,discard,0.65,0,,no aggregation has to be done
IG.EP.STONCGG.USD.SH,,,,,,,discard,0.65,0,,no aggregation has to be done
AA.RES.TP.RES.NO,,,,,,,discard,0.65,0,,no aggregation has to be done
AA.RES.GOV.RES.NO,,,,,,,discard,0.65,0,,no aggregation has to be done
AA.RES.HE.RES.NO,,,,,,,discard,0.65,0,,no aggregation has to be done
AA.RES.NP.RES.NO,,,,,,,discard,0.65,0,,no aggregation has to be done
AE.EXP.TP.PPP.NO,,,,,,,discard,0.65,0,,no aggregation has to be done
AE.EXP.GOV.PPP.NO,,,,,,,discard,0.65,0,,no aggregation has to be done
AE.EXP.HE.PPP.NO,,,,,,,discard,0.65,0,,no aggregation has to be done
AE.EXP.NP.PPP.NO,,,,,,,discard,0.65,0,,no aggregation has to be done
AR.RES.TPHD.RES.NO,,,,,,,discard,0.65,0,,no aggregation has to be done
AR.RES.TMSC.RES.NO,,,,,,,discard,0.65,0,,no aggregation has to be done
AR.RES.TBSC.RES.NO,,,,,,,discard,0.65,0,,no aggregation has to be done
AR.RES.MPHD.RES.NO,,,,,,,discard,0.65,0,,no aggregation has to be done
AR.RES.MMSC.RES.NO,,,,,,,discard,0.65,0,,no aggregation has to be done
AR.RES.MBSC.RES.NO,,,,,,,discard,0.65,0,,no aggregation has to be done
AR.RES.FPHD.RES.NO,,,,,,,discard,0.65,0,,no aggregation has to be done
AR.RES.FMSC.RES.NO,,,,,,,discard,0.65,0,,no aggregation has to be done
AR.RES.FBSC.RES.NO,,,,,,,discard,0.65,0,,no aggregation has to be done
IT.CEL.SETS,,,,,,,sum,0.65,0,,
IT.CEL.SETS.GR12,IT.CEL.SETS,,IT.CEL.SETS,growth,12,geo,weighted.mean,0.65,0,,
IT.NET.BBND.P2,,,OA.TPBS.POP.PPL.NO,,,,weighted.mean,0.65,0,,
IT.CEL.SETS.P2,,,OA.TPBS.POP.PPL.NO,,,,weighted.mean,0.65,0,,
IT.MLT.MAIN.P2,,,OA.TPBS.POP.PPL.NO,,,,weighted.mean,0.65,0,,
IQ.CPA.BREG.XQ,,,,,,,discard,0.65,0,,no aggregation has to be done
SI.POV.GAPS,,,,,,,discard,0.65,0,,no aggregation has to be done
SI.POV.GAP2,,,,,,,discard,0.65,0,,no aggregation has to be done
SI.POV.NAGP,,,,,,,discard,0.65,0,,no aggregation has to be done
SI.POV.RUGP,,,,,,,discard,0.65,0,,no aggregation has to be done
SI.POV.URGP,,,,,,,discard,0.65,0,,no aggregation has to be done
SI.POV.DDAY,,,,,,,discard,0.65,0,,no aggregation has to be done
SI.POV.2DAY,,,,,,,discard,0.65,0,,no aggregation has to be done
SI.POV.NAHC,,,,,,,discard,0.65,0,,no aggregation has to be done
SI.POV.RUHC,,,,,,,discard,0.65,0,,no aggregation has to be done
SI.POV.URHC,,,,,,,discard,0.65,0,,no aggregation has to be done
SI.POV.GINI,,,,,,,discard,0.65,0,,no aggregation has to be done
SI.DST.05TH.20,,,,,,,discard,0.65,0,,no aggregation has to be done
SI.DST.FRST.20,,,,,,,discard,0.65,0,,no aggregation has to be done
